song,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Faded Love,Leony,0.748,0.748,11,-3.852,1,0.0465,0.374,0.0,0.261,0.393,132.101,audio_features,0HzHUF33G1dPmd2eNULyfa,spotify:track:0HzHUF33G1dPmd2eNULyfa,https://api.spotify.com/v1/tracks/0HzHUF33G1dPmd2eNULyfa,https://api.spotify.com/v1/audio-analysis/0HzHUF33G1dPmd2eNULyfa,148346,4
If You Love Her,Forest Blakk,0.286,0.445,6,-8.087,1,0.0347,0.355,0.0,0.114,0.278,50.827,audio_features,727Z2S2mtNH46CbP9EWPwY,spotify:track:727Z2S2mtNH46CbP9EWPwY,https://api.spotify.com/v1/tracks/727Z2S2mtNH46CbP9EWPwY,https://api.spotify.com/v1/audio-analysis/727Z2S2mtNH46CbP9EWPwY,217352,4
Let’s Go Home Together,Ella Henderson,0.661,0.486,5,-4.438,1,0.0431,0.454,0.0,0.0994,0.309,78.31,audio_features,53fP1JzpjywHdJKx1flKCA,spotify:track:53fP1JzpjywHdJKx1flKCA,https://api.spotify.com/v1/tracks/53fP1JzpjywHdJKx1flKCA,https://api.spotify.com/v1/audio-analysis/53fP1JzpjywHdJKx1flKCA,208692,4
Fake Fine,Robert Grace,0.82,0.538,5,-8.535,1,0.0459,0.185,0.0,0.156,0.966,149.998,audio_features,1zIdA3QeaQWluOM8ZdUX8u,spotify:track:1zIdA3QeaQWluOM8ZdUX8u,https://api.spotify.com/v1/tracks/1zIdA3QeaQWluOM8ZdUX8u,https://api.spotify.com/v1/audio-analysis/1zIdA3QeaQWluOM8ZdUX8u,170400,4
Ghost,Zoe Wees,0.467,0.543,5,-6.022,1,0.0383,0.502,0.0,0.147,0.133,79.843,audio_features,05UltuNI98AkRfrxqgVBUu,spotify:track:05UltuNI98AkRfrxqgVBUu,https://api.spotify.com/v1/tracks/05UltuNI98AkRfrxqgVBUu,https://api.spotify.com/v1/audio-analysis/05UltuNI98AkRfrxqgVBUu,171575,4
Hidden Spirit,Henry And The Waiter,0.775,0.673,0,-6.185,0,0.0413,0.355,0.0,0.141,0.596,113.953,audio_features,66NGYwxqmLrCzCfSXCKDSj,spotify:track:66NGYwxqmLrCzCfSXCKDSj,https://api.spotify.com/v1/tracks/66NGYwxqmLrCzCfSXCKDSj,https://api.spotify.com/v1/audio-analysis/66NGYwxqmLrCzCfSXCKDSj,184977,4
Bang!,AJR,0.74,0.517,1,-6.233,0,0.0506,0.0183,0.0,0.0558,0.698,139.917,audio_features,0m7TguDgLue2LCaDF7B4qx,spotify:track:0m7TguDgLue2LCaDF7B4qx,https://api.spotify.com/v1/tracks/0m7TguDgLue2LCaDF7B4qx,https://api.spotify.com/v1/audio-analysis/0m7TguDgLue2LCaDF7B4qx,170858,4
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,audio_features,6fRxMU4LWwyaSSowV441IU,spotify:track:6fRxMU4LWwyaSSowV441IU,https://api.spotify.com/v1/tracks/6fRxMU4LWwyaSSowV441IU,https://api.spotify.com/v1/audio-analysis/6fRxMU4LWwyaSSowV441IU,227395,4
I Follow,Loi,0.518,0.432,0,-7.362,1,0.0469,0.353,0.0,0.0906,0.145,80.11,audio_features,4QZYTmGqtEHngxs10Rd9qB,spotify:track:4QZYTmGqtEHngxs10Rd9qB,https://api.spotify.com/v1/tracks/4QZYTmGqtEHngxs10Rd9qB,https://api.spotify.com/v1/audio-analysis/4QZYTmGqtEHngxs10Rd9qB,169405,4
Whatever It Takes,Milow,0.716,0.776,1,-4.677,1,0.144,0.0671,1.21e-05,0.101,0.841,92.43,audio_features,23QRXw4bjuThtedOYKx8IS,spotify:track:23QRXw4bjuThtedOYKx8IS,https://api.spotify.com/v1/tracks/23QRXw4bjuThtedOYKx8IS,https://api.spotify.com/v1/audio-analysis/23QRXw4bjuThtedOYKx8IS,173933,4
Solange du dich bewegst,Wilhelmine,0.66,0.618,10,-10.055,1,0.0479,0.303,4.12e-06,0.176,0.461,119.937,audio_features,6mShGVRWUQz0qoU7mVqoSH,spotify:track:6mShGVRWUQz0qoU7mVqoSH,https://api.spotify.com/v1/tracks/6mShGVRWUQz0qoU7mVqoSH,https://api.spotify.com/v1/audio-analysis/6mShGVRWUQz0qoU7mVqoSH,211849,4
The Hurt You Gave Me,Robert Grace,0.706,0.578,7,-7.101,1,0.202,0.229,0.0,0.37,0.697,179.952,audio_features,1UCN2LmSOqXYUPTZfiOSzv,spotify:track:1UCN2LmSOqXYUPTZfiOSzv,https://api.spotify.com/v1/tracks/1UCN2LmSOqXYUPTZfiOSzv,https://api.spotify.com/v1/audio-analysis/1UCN2LmSOqXYUPTZfiOSzv,150967,4
Pillow,Kelvin Jones,0.67,0.739,7,-6.377,0,0.179,0.0893,1.67e-06,0.246,0.447,104.901,audio_features,2AnUgiVQfQOWf1naRzdGvg,spotify:track:2AnUgiVQfQOWf1naRzdGvg,https://api.spotify.com/v1/tracks/2AnUgiVQfQOWf1naRzdGvg,https://api.spotify.com/v1/audio-analysis/2AnUgiVQfQOWf1naRzdGvg,157135,4
I'm not Pretty,JESSIA,0.783,0.526,7,-6.478,1,0.261,0.0802,0.0,0.066,0.902,75.002,audio_features,4pBhTGnL5N5KqsyqU58jee,spotify:track:4pBhTGnL5N5KqsyqU58jee,https://api.spotify.com/v1/tracks/4pBhTGnL5N5KqsyqU58jee,https://api.spotify.com/v1/audio-analysis/4pBhTGnL5N5KqsyqU58jee,118400,4
Lemon Tree,Alle Farben,0.66,0.81,5,-5.938,0,0.058,0.022,1.4e-06,0.0837,0.59,125.085,audio_features,6sGeBxS4PIEtZdWpgdnitV,spotify:track:6sGeBxS4PIEtZdWpgdnitV,https://api.spotify.com/v1/tracks/6sGeBxS4PIEtZdWpgdnitV,https://api.spotify.com/v1/audio-analysis/6sGeBxS4PIEtZdWpgdnitV,196456,4
Girls Like Us,Zoe Wees,0.444,0.648,1,-4.955,1,0.0476,0.288,0.0,0.059,0.171,125.706,audio_features,5SFXOMJJ334Wn2PwBHeRZN,spotify:track:5SFXOMJJ334Wn2PwBHeRZN,https://api.spotify.com/v1/tracks/5SFXOMJJ334Wn2PwBHeRZN,https://api.spotify.com/v1/audio-analysis/5SFXOMJJ334Wn2PwBHeRZN,189000,5
Drei Uhr Nachts,Mark Forster,0.663,0.673,8,-7.031,1,0.119,0.0601,1.36e-05,0.191,0.759,164.817,audio_features,58GxgFEG5uHc9oMhofuuIP,spotify:track:58GxgFEG5uHc9oMhofuuIP,https://api.spotify.com/v1/tracks/58GxgFEG5uHc9oMhofuuIP,https://api.spotify.com/v1/audio-analysis/58GxgFEG5uHc9oMhofuuIP,161001,4
